[0.000000] (-) TimerEvent: {}
[0.000532] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000721] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000838] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000943] (-) JobUnselected: {'identifier': 'brain_controller'}
[0.001040] (-) JobUnselected: {'identifier': 'brain_hardware'}
[0.001647] (-) JobUnselected: {'identifier': 'bringup'}
[0.002219] (-) JobUnselected: {'identifier': 'description'}
[0.002537] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.002709] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.003533] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.003636] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.003727] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.003815] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.003900] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.003987] (-) JobUnselected: {'identifier': 'interfaces'}
[0.004071] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.004156] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.004242] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.004326] (-) JobUnselected: {'identifier': 'oradar_lidar'}
[0.004415] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.004500] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.004584] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.004669] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.004754] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.004837] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.004921] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.005006] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.005089] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.005172] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.005258] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.005352] (-) EventReactorShutdown: {}
